Player ID,Original player ID,Sign up date,First deposit date,Partner ID,Company name,Partners email,Partner tags,Campaign ID,Campaign name,Promo ID,Promo code,Player country,Tag: clickid,Tag: os,Tag: source,Tag: sub2,Tag: webID,Date,Prequalified,Duplicate,Self-excluded,Disabled,Currency,FTD count,FTD sum,Deposits count,Deposits sum,Cashouts count,Cashouts sum,Casino bets count,Casino Real NGR,Fixed per player,Casino bets sum,Casino wins sum
22027429,679669,2023-02-16 00:00:00 UTC,2025-06-05 00:00:00 UTC,149232,Rockit Media FB,nazar.b@rockitmedia.io,1. FB 2. Affiliate CPA,269435,LU_FB_iOS,763346,adba497cc,AU,3d061b1e-e9fc-4422-ada7-cd1b2f4c7105,,9303,,,2025-06-05 00:00:00 UTC,0,0,0,0,EUR,1,11.36,3,39.77,0,0.00,97,39.66,0.00,66.74,27.08
22027429,679669,2023-02-16 00:00:00 UTC,2025-06-05 00:00:00 UTC,149232,Rockit Media FB,nazar.b@rockitmedia.io,1. FB 2. Affiliate CPA,269435,LU_FB_iOS,763346,adba497cc,AU,3d061b1e-e9fc-4422-ada7-cd1b2f4c7105,,9303,,,2025-06-06 00:00:00 UTC,0,0,0,0,EUR,0,0.00,1,17.05,0,0.00,33,6.08,0.00,9.66,3.58
22027429,679669,2023-02-16 00:00:00 UTC,2025-06-05 00:00:00 UTC,149232,Rockit Media FB,nazar.b@rockitmedia.io,1. FB 2. Affiliate CPA,269435,LU_FB_iOS,763346,adba497cc,AU,3d061b1e-e9fc-4422-ada7-cd1b2f4c7105,,9303,,,2025-06-07 00:00:00 UTC,0,0,0,0,EUR,0,0.00,0,0.00,0,0.00,22,10.99,0.00,17.37,6.38
22475901,692412,2023-03-03 00:00:00 UTC,2025-06-11 00:00:00 UTC,149232,Rockit Media FB,nazar.b@rockitmedia.io,1. FB 2. Affiliate CPA,269435,LU_FB_iOS,763346,adba497cc,AU,5201e0c1-02fd-443c-b1e0-df5aee27f775,,9303,,,2025-06-11 00:00:00 UTC,0,0,0,0,EUR,1,14.27,1,14.27,0,0.00,59,14.24,0.00,22.94,8.70
23397868,722894,2023-04-06 00:00:00 UTC,2025-05-31 00:00:00 UTC,149232,Rockit Media FB,nazar.b@rockitmedia.io,1. FB 2. Affiliate CPA,283621,CPA_Rockit_FB_AU_iOS_240,779970,a242c6794,AU,e9692b6c-8ed6-456e-bb75-9bbd99ba3e75,,10901,,,2025-05-31 00:00:00 UTC,0,0,0,0,EUR,1,28.34,1,28.34,0,0.00,85,28.34,0.00,118.46,61.78
24592012,786227,2023-06-08 00:00:00 UTC,2025-06-10 00:00:00 UTC,149232,Rockit Media FB,nazar.b@rockitmedia.io,1. FB 2. Affiliate CPA,290117,AU_new_test,786700,a9857baf9,AU,1b9451ae-d001-4b52-ba7a-7c8d92bdb4f2,,11523,,,2025-06-10 00:00:00 UTC,0,0,0,0,EUR,1,28.52,1,28.52,0,0.00,70,28.46,0.00,87.26,58.80
25231373,346354,2023-08-03 00:00:00 UTC,2025-05-17 00:00:00 UTC,153278,Makeberry FB,yuliia.k@makeberry.com tetiana.k@makeberry.com analytics+fb@makeberry.com analytics@makeberry.com v.halchuk+lvlupfb@upstars.com,1. FB 2. Affiliate CPA,346144,Lucky Elf AU FB mix iOS-PWA\apps + android-PWA,803779,a1ff7e704,AU,237jh9ahf01v,,,,32,2025-05-17 00:00:00 UTC,0,0,0,0,EUR,1,17.24,4,86.19,0,0.00,2316,85.86,0.00,2455.19,2369.33
25291893,349070,2023-08-09 00:00:00 UTC,2025-06-17 00:00:00 UTC,153278,Makeberry FB,yuliia.k@makeberry.com tetiana.k@makeberry.com analytics+fb@makeberry.com analytics@makeberry.com v.halchuk+lvlupfb@upstars.com,1. FB 2. Affiliate CPA,346144,Lucky Elf AU FB mix iOS-PWA\apps + android-PWA,803779,a1ff7e704,AU,18i8pk4i2o57,,,,32,2025-06-17 00:00:00 UTC,0,0,0,0,EUR,1,56.35,1,56.35,0,0.00,197,55.59,0.00,272.03,160.09
25291893,349070,2023-08-09 00:00:00 UTC,2025-06-17 00:00:00 UTC,153278,Makeberry FB,yuliia.k@makeberry.com tetiana.k@makeberry.com analytics+fb@makeberry.com analytics@makeberry.com v.halchuk+lvlupfb@upstars.com,1. FB 2. Affiliate CPA,346144,Lucky Elf AU FB mix iOS-PWA\apps + android-PWA,803779,a1ff7e704,AU,18i8pk4i2o57,,,,32,2025-06-22 00:00:00 UTC,0,0,0,0,EUR,0,0.00,0,0.00,0,0.00,0,-2.81,0.00,0.00,0.00
25723334,860345,2023-09-18 00:00:00 UTC,2025-05-31 00:00:00 UTC,153278,Makeberry FB,yuliia.k@makeberry.com tetiana.k@makeberry.com analytics+fb@makeberry.com analytics@makeberry.com v.halchuk+lvlupfb@upstars.com,1. FB 2. Affiliate CPA,346143,LevelUp AU FB mix ios-PWA\apps + android-PWA ,803778,a657f93ff,AU,1annnrlnjm1i,,,,71,2025-05-31 00:00:00 UTC,0,0,0,0,EUR,1,14.17,2,25.51,0,0.00,378,25.41,0.00,197.14,123.12
